# Logfile created on 2019-04-02 18:19:56 +0300 by logger.rb/66358
I, [2019-04-02T18:19:56.071445 #37836]  INFO -- : (0.001680s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:26:46.251145 #38284]  INFO -- : (0.000243s) SELECT * FROM `tasks` WHERE (`id` = 75) LIMIT 1
I, [2019-04-02T18:26:48.425683 #38284]  INFO -- : (0.006694s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''matrix'' occur more frequently in the ''variables''?', NULL, NULL, 'sapphire', 'rails-bigint-primarykey', '2019-04-02 18:26:48.411055', 607)
I, [2019-04-02T18:26:48.482993 #38284]  INFO -- : (0.002302s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''matrix'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'sapphire', `left` = 'sapphire', `right` = 'rails-bigint-primarykey', `timestamp` = '2019-04-02 18:26:48.411055', `session_id` = 607 WHERE (`id` = 76)
I, [2019-04-02T18:26:48.483284 #38284]  INFO -- : (0.000167s) SELECT * FROM `tasks` WHERE (`id` = 76) LIMIT 1
I, [2019-04-02T18:26:48.767598 #38284]  INFO -- : (0.006441s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''matrix'' occur more frequently in the ''variables''?', `answer` = 'sapphire', `our` = 'sapphire', `left` = 'sapphire', `right` = 'rails-bigint-primarykey', `timestamp` = '2019-04-02 18:26:48.411055', `session_id` = 607 WHERE (`id` = 76)
I, [2019-04-02T18:26:48.768039 #38284]  INFO -- : (0.000243s) SELECT * FROM `tasks` WHERE (`id` = 76) LIMIT 1
I, [2019-04-02T18:26:50.958395 #38284]  INFO -- : (0.006471s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''base'' occur more frequently in the ''variables''?', NULL, NULL, 'redis-rack-cache', 'pickle', '2019-04-02 18:26:50.941006', 607)
I, [2019-04-02T18:26:51.017263 #38284]  INFO -- : (0.002541s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''base'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'redis-rack-cache', `left` = 'redis-rack-cache', `right` = 'pickle', `timestamp` = '2019-04-02 18:26:50.941006', `session_id` = 607 WHERE (`id` = 77)
I, [2019-04-02T18:26:51.017578 #38284]  INFO -- : (0.000177s) SELECT * FROM `tasks` WHERE (`id` = 77) LIMIT 1
I, [2019-04-02T18:26:51.298313 #38284]  INFO -- : (0.007307s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''base'' occur more frequently in the ''variables''?', `answer` = 'redis-rack-cache', `our` = 'redis-rack-cache', `left` = 'redis-rack-cache', `right` = 'pickle', `timestamp` = '2019-04-02 18:26:50.941006', `session_id` = 607 WHERE (`id` = 77)
I, [2019-04-02T18:26:51.299004 #38284]  INFO -- : (0.000341s) SELECT * FROM `tasks` WHERE (`id` = 77) LIMIT 1
I, [2019-04-02T18:26:53.472630 #38284]  INFO -- : (0.006722s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''custom'' occur more frequently in the ''variables''?', NULL, NULL, 'active_record_query_trace', 'lever_postings', '2019-04-02 18:26:53.457991', 607)
I, [2019-04-02T18:26:53.528101 #38284]  INFO -- : (0.002335s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''custom'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'active_record_query_trace', `left` = 'active_record_query_trace', `right` = 'lever_postings', `timestamp` = '2019-04-02 18:26:53.457991', `session_id` = 607 WHERE (`id` = 78)
I, [2019-04-02T18:26:53.528407 #38284]  INFO -- : (0.000174s) SELECT * FROM `tasks` WHERE (`id` = 78) LIMIT 1
I, [2019-04-02T18:26:53.811366 #38284]  INFO -- : (0.006948s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''custom'' occur more frequently in the ''variables''?', `answer` = 'active_record_query_trace', `our` = 'active_record_query_trace', `left` = 'active_record_query_trace', `right` = 'lever_postings', `timestamp` = '2019-04-02 18:26:53.457991', `session_id` = 607 WHERE (`id` = 78)
I, [2019-04-02T18:26:53.811953 #38284]  INFO -- : (0.000352s) SELECT * FROM `tasks` WHERE (`id` = 78) LIMIT 1
I, [2019-04-02T18:26:55.989687 #38284]  INFO -- : (0.006299s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''map'' occur more frequently in the ''variables''?', NULL, NULL, 'db-charmer', 'apns', '2019-04-02 18:26:55.975590', 607)
I, [2019-04-02T18:26:56.046727 #38284]  INFO -- : (0.002314s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''map'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'db-charmer', `left` = 'db-charmer', `right` = 'apns', `timestamp` = '2019-04-02 18:26:55.975590', `session_id` = 607 WHERE (`id` = 79)
I, [2019-04-02T18:26:56.047021 #38284]  INFO -- : (0.000171s) SELECT * FROM `tasks` WHERE (`id` = 79) LIMIT 1
I, [2019-04-02T18:26:56.339452 #38284]  INFO -- : (0.006633s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''map'' occur more frequently in the ''variables''?', `answer` = 'db-charmer', `our` = 'db-charmer', `left` = 'db-charmer', `right` = 'apns', `timestamp` = '2019-04-02 18:26:55.975590', `session_id` = 607 WHERE (`id` = 79)
I, [2019-04-02T18:26:56.339866 #38284]  INFO -- : (0.000224s) SELECT * FROM `tasks` WHERE (`id` = 79) LIMIT 1
I, [2019-04-02T18:26:58.524020 #38284]  INFO -- : (0.006820s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', NULL, NULL, 'beef-pages', 's4t-utils', '2019-04-02 18:26:58.504867', 607)
I, [2019-04-02T18:26:58.581647 #38284]  INFO -- : (0.001004s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'beef-pages', `left` = 'beef-pages', `right` = 's4t-utils', `timestamp` = '2019-04-02 18:26:58.504867', `session_id` = 607 WHERE (`id` = 80)
I, [2019-04-02T18:26:58.581949 #38284]  INFO -- : (0.000172s) SELECT * FROM `tasks` WHERE (`id` = 80) LIMIT 1
I, [2019-04-02T18:26:58.872783 #38284]  INFO -- : (0.007420s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = 'beef-pages', `our` = 'beef-pages', `left` = 'beef-pages', `right` = 's4t-utils', `timestamp` = '2019-04-02 18:26:58.504867', `session_id` = 607 WHERE (`id` = 80)
I, [2019-04-02T18:26:58.873476 #38284]  INFO -- : (0.000340s) SELECT * FROM `tasks` WHERE (`id` = 80) LIMIT 1
I, [2019-04-02T18:27:01.053352 #38284]  INFO -- : (0.006944s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''template'' occur more frequently in the ''variables''?', NULL, NULL, 'bookyt_salary', 'pango', '2019-04-02 18:27:01.038840', 607)
I, [2019-04-02T18:27:01.108366 #38284]  INFO -- : (0.002374s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''template'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'bookyt_salary', `left` = 'bookyt_salary', `right` = 'pango', `timestamp` = '2019-04-02 18:27:01.038840', `session_id` = 607 WHERE (`id` = 81)
I, [2019-04-02T18:27:01.108652 #38284]  INFO -- : (0.000164s) SELECT * FROM `tasks` WHERE (`id` = 81) LIMIT 1
I, [2019-04-02T18:27:01.393131 #38284]  INFO -- : (0.006439s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''template'' occur more frequently in the ''variables''?', `answer` = 'bookyt_salary', `our` = 'bookyt_salary', `left` = 'bookyt_salary', `right` = 'pango', `timestamp` = '2019-04-02 18:27:01.038840', `session_id` = 607 WHERE (`id` = 81)
I, [2019-04-02T18:27:01.393569 #38284]  INFO -- : (0.000243s) SELECT * FROM `tasks` WHERE (`id` = 81) LIMIT 1
I, [2019-04-02T18:27:03.572376 #38284]  INFO -- : (0.005507s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''exception'' occur more frequently in the ''variables''?', NULL, NULL, 'eventq_base', 'gherkin3', '2019-04-02 18:27:03.554132', 607)
I, [2019-04-02T18:27:03.636472 #38284]  INFO -- : (0.002673s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''exception'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'eventq_base', `left` = 'eventq_base', `right` = 'gherkin3', `timestamp` = '2019-04-02 18:27:03.554132', `session_id` = 607 WHERE (`id` = 82)
I, [2019-04-02T18:27:03.636791 #38284]  INFO -- : (0.000181s) SELECT * FROM `tasks` WHERE (`id` = 82) LIMIT 1
I, [2019-04-02T18:27:03.921527 #38284]  INFO -- : (0.007129s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''exception'' occur more frequently in the ''variables''?', `answer` = 'eventq_base', `our` = 'eventq_base', `left` = 'eventq_base', `right` = 'gherkin3', `timestamp` = '2019-04-02 18:27:03.554132', `session_id` = 607 WHERE (`id` = 82)
I, [2019-04-02T18:27:03.922228 #38284]  INFO -- : (0.000348s) SELECT * FROM `tasks` WHERE (`id` = 82) LIMIT 1
I, [2019-04-02T18:27:06.093127 #38284]  INFO -- : (0.006865s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''vin'' occur more frequently in the ''variables''?', NULL, NULL, 'fluent-plugin-statsd', 'vinbot', '2019-04-02 18:27:06.077377', 607)
I, [2019-04-02T18:27:06.153447 #38284]  INFO -- : (0.002386s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''vin'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'fluent-plugin-statsd', `left` = 'fluent-plugin-statsd', `right` = 'vinbot', `timestamp` = '2019-04-02 18:27:06.077377', `session_id` = 607 WHERE (`id` = 83)
I, [2019-04-02T18:27:06.153751 #38284]  INFO -- : (0.000175s) SELECT * FROM `tasks` WHERE (`id` = 83) LIMIT 1
I, [2019-04-02T18:27:06.433001 #38284]  INFO -- : (0.006705s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''vin'' occur more frequently in the ''variables''?', `answer` = 'fluent-plugin-statsd', `our` = 'fluent-plugin-statsd', `left` = 'fluent-plugin-statsd', `right` = 'vinbot', `timestamp` = '2019-04-02 18:27:06.077377', `session_id` = 607 WHERE (`id` = 83)
I, [2019-04-02T18:27:06.433391 #38284]  INFO -- : (0.000209s) SELECT * FROM `tasks` WHERE (`id` = 83) LIMIT 1
I, [2019-04-02T18:27:08.624101 #38284]  INFO -- : (0.002628s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''settings'' occur more frequently in the ''variables''?', NULL, NULL, 'memprof', 'sensu-cli', '2019-04-02 18:27:08.609597', 607)
I, [2019-04-02T18:27:08.684589 #38284]  INFO -- : (0.000963s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''settings'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'memprof', `left` = 'memprof', `right` = 'sensu-cli', `timestamp` = '2019-04-02 18:27:08.609597', `session_id` = 607 WHERE (`id` = 84)
I, [2019-04-02T18:27:08.684954 #38284]  INFO -- : (0.000203s) SELECT * FROM `tasks` WHERE (`id` = 84) LIMIT 1
I, [2019-04-02T18:27:08.971162 #38284]  INFO -- : (0.006767s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''settings'' occur more frequently in the ''variables''?', `answer` = 'memprof', `our` = 'memprof', `left` = 'memprof', `right` = 'sensu-cli', `timestamp` = '2019-04-02 18:27:08.609597', `session_id` = 607 WHERE (`id` = 84)
I, [2019-04-02T18:27:08.971720 #38284]  INFO -- : (0.000308s) SELECT * FROM `tasks` WHERE (`id` = 84) LIMIT 1
I, [2019-04-02T18:27:11.160777 #38284]  INFO -- : (0.003056s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''hive'' occur more frequently in the ''variables''?', NULL, NULL, 'rex-registry', 'http_configuration', '2019-04-02 18:27:11.146371', 607)
I, [2019-04-02T18:27:11.235099 #38284]  INFO -- : (0.002506s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''hive'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'rex-registry', `left` = 'rex-registry', `right` = 'http_configuration', `timestamp` = '2019-04-02 18:27:11.146371', `session_id` = 607 WHERE (`id` = 85)
I, [2019-04-02T18:27:11.235421 #38284]  INFO -- : (0.000183s) SELECT * FROM `tasks` WHERE (`id` = 85) LIMIT 1
I, [2019-04-02T18:27:11.530919 #38284]  INFO -- : (0.006485s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''hive'' occur more frequently in the ''variables''?', `answer` = 'rex-registry', `our` = 'rex-registry', `left` = 'rex-registry', `right` = 'http_configuration', `timestamp` = '2019-04-02 18:27:11.146371', `session_id` = 607 WHERE (`id` = 85)
I, [2019-04-02T18:27:11.531410 #38284]  INFO -- : (0.000296s) SELECT * FROM `tasks` WHERE (`id` = 85) LIMIT 1
I, [2019-04-02T18:27:13.712455 #38284]  INFO -- : (0.006062s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''flakey'' occur more frequently in the ''variables''?', NULL, NULL, 'sort_alphabetical', 'rubydns', '2019-04-02 18:27:13.695014', 607)
I, [2019-04-02T18:27:13.775215 #38284]  INFO -- : (0.002179s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''flakey'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'sort_alphabetical', `left` = 'sort_alphabetical', `right` = 'rubydns', `timestamp` = '2019-04-02 18:27:13.695014', `session_id` = 607 WHERE (`id` = 86)
I, [2019-04-02T18:27:13.775566 #38284]  INFO -- : (0.000196s) SELECT * FROM `tasks` WHERE (`id` = 86) LIMIT 1
I, [2019-04-02T18:27:14.041554 #38284]  INFO -- : (0.005957s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''flakey'' occur more frequently in the ''variables''?', `answer` = 'sort_alphabetical', `our` = 'sort_alphabetical', `left` = 'sort_alphabetical', `right` = 'rubydns', `timestamp` = '2019-04-02 18:27:13.695014', `session_id` = 607 WHERE (`id` = 86)
I, [2019-04-02T18:27:14.041866 #38284]  INFO -- : (0.000173s) SELECT * FROM `tasks` WHERE (`id` = 86) LIMIT 1
I, [2019-04-02T18:27:16.223314 #38284]  INFO -- : (0.026789s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''module'' occur more frequently in the ''variables''?', NULL, NULL, 'ruby-vpi', 'jekyll-watch', '2019-04-02 18:27:16.188392', 607)
I, [2019-04-02T18:27:16.297928 #38284]  INFO -- : (0.001666s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''module'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'ruby-vpi', `left` = 'ruby-vpi', `right` = 'jekyll-watch', `timestamp` = '2019-04-02 18:27:16.188392', `session_id` = 607 WHERE (`id` = 87)
I, [2019-04-02T18:27:16.298460 #38284]  INFO -- : (0.000271s) SELECT * FROM `tasks` WHERE (`id` = 87) LIMIT 1
I, [2019-04-02T18:27:16.586492 #38284]  INFO -- : (0.001388s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''module'' occur more frequently in the ''variables''?', `answer` = 'ruby-vpi', `our` = 'ruby-vpi', `left` = 'ruby-vpi', `right` = 'jekyll-watch', `timestamp` = '2019-04-02 18:27:16.188392', `session_id` = 607 WHERE (`id` = 87)
I, [2019-04-02T18:27:16.586959 #38284]  INFO -- : (0.000242s) SELECT * FROM `tasks` WHERE (`id` = 87) LIMIT 1
I, [2019-04-02T18:27:18.757246 #38284]  INFO -- : (0.006038s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''constructor'' occur more frequently in the ''variables''?', NULL, NULL, 'therubyrhino', 'librarian-ansible', '2019-04-02 18:27:18.742908', 607)
I, [2019-04-02T18:27:18.814530 #38284]  INFO -- : (0.002442s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''constructor'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'therubyrhino', `left` = 'therubyrhino', `right` = 'librarian-ansible', `timestamp` = '2019-04-02 18:27:18.742908', `session_id` = 607 WHERE (`id` = 88)
I, [2019-04-02T18:27:18.814841 #38284]  INFO -- : (0.000175s) SELECT * FROM `tasks` WHERE (`id` = 88) LIMIT 1
I, [2019-04-02T18:27:19.081867 #38284]  INFO -- : (0.002803s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''constructor'' occur more frequently in the ''variables''?', `answer` = 'therubyrhino', `our` = 'therubyrhino', `left` = 'therubyrhino', `right` = 'librarian-ansible', `timestamp` = '2019-04-02 18:27:18.742908', `session_id` = 607 WHERE (`id` = 88)
I, [2019-04-02T18:27:19.082176 #38284]  INFO -- : (0.000173s) SELECT * FROM `tasks` WHERE (`id` = 88) LIMIT 1
I, [2019-04-02T18:27:21.255872 #38284]  INFO -- : (0.012491s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''record'' occur more frequently in the ''variables''?', NULL, NULL, 'acts-as-optionable', 'stanford-mods', '2019-04-02 18:27:21.234954', 607)
I, [2019-04-02T18:27:21.319541 #38284]  INFO -- : (0.000909s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''record'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'acts-as-optionable', `left` = 'acts-as-optionable', `right` = 'stanford-mods', `timestamp` = '2019-04-02 18:27:21.234954', `session_id` = 607 WHERE (`id` = 89)
I, [2019-04-02T18:27:21.319941 #38284]  INFO -- : (0.000229s) SELECT * FROM `tasks` WHERE (`id` = 89) LIMIT 1
I, [2019-04-02T18:27:21.587615 #38284]  INFO -- : (0.002428s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''record'' occur more frequently in the ''variables''?', `answer` = 'acts-as-optionable', `our` = 'acts-as-optionable', `left` = 'acts-as-optionable', `right` = 'stanford-mods', `timestamp` = '2019-04-02 18:27:21.234954', `session_id` = 607 WHERE (`id` = 89)
I, [2019-04-02T18:27:21.587940 #38284]  INFO -- : (0.000183s) SELECT * FROM `tasks` WHERE (`id` = 89) LIMIT 1
I, [2019-04-02T18:27:23.747798 #38284]  INFO -- : (0.006023s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', NULL, NULL, 'require_relative', 'pkcs11', '2019-04-02 18:27:23.734123', 607)
I, [2019-04-02T18:27:23.810077 #38284]  INFO -- : (0.002407s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'require_relative', `left` = 'require_relative', `right` = 'pkcs11', `timestamp` = '2019-04-02 18:27:23.734123', `session_id` = 607 WHERE (`id` = 90)
I, [2019-04-02T18:27:23.810442 #38284]  INFO -- : (0.000204s) SELECT * FROM `tasks` WHERE (`id` = 90) LIMIT 1
I, [2019-04-02T18:27:24.080244 #38284]  INFO -- : (0.006044s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''variables''?', `answer` = 'require_relative', `our` = 'require_relative', `left` = 'require_relative', `right` = 'pkcs11', `timestamp` = '2019-04-02 18:27:23.734123', `session_id` = 607 WHERE (`id` = 90)
I, [2019-04-02T18:27:24.080542 #38284]  INFO -- : (0.000167s) SELECT * FROM `tasks` WHERE (`id` = 90) LIMIT 1
I, [2019-04-02T18:27:26.261024 #38284]  INFO -- : (0.014148s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''controller'' occur more frequently in the ''variables''?', NULL, NULL, 'cf', 'prawn-rails', '2019-04-02 18:27:26.234664', 607)
I, [2019-04-02T18:27:26.319701 #38284]  INFO -- : (0.002445s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''controller'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'cf', `left` = 'cf', `right` = 'prawn-rails', `timestamp` = '2019-04-02 18:27:26.234664', `session_id` = 607 WHERE (`id` = 91)
I, [2019-04-02T18:27:26.320006 #38284]  INFO -- : (0.000170s) SELECT * FROM `tasks` WHERE (`id` = 91) LIMIT 1
I, [2019-04-02T18:27:26.586867 #38284]  INFO -- : (0.000836s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''controller'' occur more frequently in the ''variables''?', `answer` = 'cf', `our` = 'cf', `left` = 'cf', `right` = 'prawn-rails', `timestamp` = '2019-04-02 18:27:26.234664', `session_id` = 607 WHERE (`id` = 91)
I, [2019-04-02T18:27:26.587177 #38284]  INFO -- : (0.000176s) SELECT * FROM `tasks` WHERE (`id` = 91) LIMIT 1
I, [2019-04-02T18:27:28.775220 #38284]  INFO -- : (0.006402s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''repository'' occur more frequently in the ''variables''?', NULL, NULL, 'montrose', 'librarian-puppet-maestrodev', '2019-04-02 18:27:28.759641', 607)
I, [2019-04-02T18:27:28.837613 #38284]  INFO -- : (0.002248s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''repository'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'montrose', `left` = 'montrose', `right` = 'librarian-puppet-maestrodev', `timestamp` = '2019-04-02 18:27:28.759641', `session_id` = 607 WHERE (`id` = 92)
I, [2019-04-02T18:27:28.837933 #38284]  INFO -- : (0.000178s) SELECT * FROM `tasks` WHERE (`id` = 92) LIMIT 1
I, [2019-04-02T18:27:29.120717 #38284]  INFO -- : (0.002687s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''repository'' occur more frequently in the ''variables''?', `answer` = 'montrose', `our` = 'montrose', `left` = 'montrose', `right` = 'librarian-puppet-maestrodev', `timestamp` = '2019-04-02 18:27:28.759641', `session_id` = 607 WHERE (`id` = 92)
I, [2019-04-02T18:27:29.121240 #38284]  INFO -- : (0.000278s) SELECT * FROM `tasks` WHERE (`id` = 92) LIMIT 1
I, [2019-04-02T18:27:31.339620 #38284]  INFO -- : (0.000971s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', NULL, NULL, 'bookingsync-api', 'libxml-ruby', '2019-04-02 18:27:31.321310', 607)
I, [2019-04-02T18:27:31.400694 #38284]  INFO -- : (0.000807s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'bookingsync-api', `left` = 'bookingsync-api', `right` = 'libxml-ruby', `timestamp` = '2019-04-02 18:27:31.321310', `session_id` = 607 WHERE (`id` = 93)
I, [2019-04-02T18:27:31.401000 #38284]  INFO -- : (0.000172s) SELECT * FROM `tasks` WHERE (`id` = 93) LIMIT 1
I, [2019-04-02T18:27:31.675180 #38284]  INFO -- : (0.006276s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''error'' occur more frequently in the ''variables''?', `answer` = 'bookingsync-api', `our` = 'bookingsync-api', `left` = 'bookingsync-api', `right` = 'libxml-ruby', `timestamp` = '2019-04-02 18:27:31.321310', `session_id` = 607 WHERE (`id` = 93)
I, [2019-04-02T18:27:31.675549 #38284]  INFO -- : (0.000195s) SELECT * FROM `tasks` WHERE (`id` = 93) LIMIT 1
I, [2019-04-02T18:27:33.836221 #38284]  INFO -- : (0.000887s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''handlebars'' occur more frequently in the ''variables''?', NULL, NULL, 'Rack', 'tilt-handlebars', '2019-04-02 18:27:33.827240', 607)
I, [2019-04-02T18:27:33.892490 #38284]  INFO -- : (0.000808s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''handlebars'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'Rack', `left` = 'Rack', `right` = 'tilt-handlebars', `timestamp` = '2019-04-02 18:27:33.827240', `session_id` = 607 WHERE (`id` = 94)
I, [2019-04-02T18:27:33.892845 #38284]  INFO -- : (0.000192s) SELECT * FROM `tasks` WHERE (`id` = 94) LIMIT 1
I, [2019-04-02T18:27:34.172997 #38284]  INFO -- : (0.006380s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''handlebars'' occur more frequently in the ''variables''?', `answer` = 'Rack', `our` = 'Rack', `left` = 'Rack', `right` = 'tilt-handlebars', `timestamp` = '2019-04-02 18:27:33.827240', `session_id` = 607 WHERE (`id` = 94)
I, [2019-04-02T18:27:34.173441 #38284]  INFO -- : (0.000245s) SELECT * FROM `tasks` WHERE (`id` = 94) LIMIT 1
I, [2019-04-02T18:27:36.336572 #38284]  INFO -- : (0.001104s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''json'' occur more frequently in the ''variables''?', NULL, NULL, 'activerecord-simpledb-adapter', 'brakeman-min', '2019-04-02 18:27:36.326047', 607)
I, [2019-04-02T18:27:36.403332 #38284]  INFO -- : (0.002516s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''json'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'activerecord-simpledb-adapter', `left` = 'activerecord-simpledb-adapter', `right` = 'brakeman-min', `timestamp` = '2019-04-02 18:27:36.326047', `session_id` = 607 WHERE (`id` = 95)
I, [2019-04-02T18:27:36.403647 #38284]  INFO -- : (0.000177s) SELECT * FROM `tasks` WHERE (`id` = 95) LIMIT 1
I, [2019-04-02T18:27:36.679188 #38284]  INFO -- : (0.006071s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''json'' occur more frequently in the ''variables''?', `answer` = 'activerecord-simpledb-adapter', `our` = 'activerecord-simpledb-adapter', `left` = 'activerecord-simpledb-adapter', `right` = 'brakeman-min', `timestamp` = '2019-04-02 18:27:36.326047', `session_id` = 607 WHERE (`id` = 95)
I, [2019-04-02T18:27:36.679507 #38284]  INFO -- : (0.000178s) SELECT * FROM `tasks` WHERE (`id` = 95) LIMIT 1
I, [2019-04-02T18:27:38.854752 #38284]  INFO -- : (0.000835s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''closed'' occur more frequently in the ''variables''?', NULL, NULL, 'aws-sdk-swf', 'easy_captcha', '2019-04-02 18:27:38.844678', 607)
